user_id,nama,ratings
1,De Mata Trick Eye Museum,1
27,De Mata Trick Eye Museum,4
30,De Mata Trick Eye Museum,4
30,De Mata Trick Eye Museum,1
30,De Mata Trick Eye Museum,2
35,De Mata Trick Eye Museum,5
35,De Mata Trick Eye Museum,3
49,De Mata Trick Eye Museum,5
70,De Mata Trick Eye Museum,5
79,De Mata Trick Eye Museum,1
115,De Mata Trick Eye Museum,1
123,De Mata Trick Eye Museum,5
127,De Mata Trick Eye Museum,2
127,De Mata Trick Eye Museum,3
133,De Mata Trick Eye Museum,3
145,De Mata Trick Eye Museum,3
208,De Mata Trick Eye Museum,2
215,De Mata Trick Eye Museum,4
230,De Mata Trick Eye Museum,5
236,De Mata Trick Eye Museum,2
240,De Mata Trick Eye Museum,2
252,De Mata Trick Eye Museum,1
259,De Mata Trick Eye Museum,5
268,De Mata Trick Eye Museum,3
283,De Mata Trick Eye Museum,4
295,De Mata Trick Eye Museum,3
312,De Mata Trick Eye Museum,5
312,De Mata Trick Eye Museum,3
314,De Mata Trick Eye Museum,3
359,De Mata Trick Eye Museum,1
362,De Mata Trick Eye Museum,5
363,De Mata Trick Eye Museum,3
383,De Mata Trick Eye Museum,5
404,De Mata Trick Eye Museum,2
441,De Mata Trick Eye Museum,2
456,De Mata Trick Eye Museum,2
488,De Mata Trick Eye Museum,2
488,De Mata Trick Eye Museum,2
498,De Mata Trick Eye Museum,5
520,De Mata Trick Eye Museum,5
528,De Mata Trick Eye Museum,1
532,De Mata Trick Eye Museum,3
533,De Mata Trick Eye Museum,2
539,De Mata Trick Eye Museum,1
552,De Mata Trick Eye Museum,2
569,De Mata Trick Eye Museum,4
582,De Mata Trick Eye Museum,2
607,De Mata Trick Eye Museum,4
608,De Mata Trick Eye Museum,5
628,De Mata Trick Eye Museum,1
645,De Mata Trick Eye Museum,1
645,De Mata Trick Eye Museum,2
656,De Mata Trick Eye Museum,2
658,De Mata Trick Eye Museum,2
676,De Mata Trick Eye Museum,2
678,De Mata Trick Eye Museum,4
683,De Mata Trick Eye Museum,1
701,De Mata Trick Eye Museum,2
702,De Mata Trick Eye Museum,2
709,De Mata Trick Eye Museum,1
721,De Mata Trick Eye Museum,5
721,De Mata Trick Eye Museum,2
723,De Mata Trick Eye Museum,5
731,De Mata Trick Eye Museum,3
732,De Mata Trick Eye Museum,4
739,De Mata Trick Eye Museum,5
755,De Mata Trick Eye Museum,5
763,De Mata Trick Eye Museum,5
801,De Mata Trick Eye Museum,1
810,De Mata Trick Eye Museum,3
816,De Mata Trick Eye Museum,3
825,De Mata Trick Eye Museum,2
830,De Mata Trick Eye Museum,3
841,De Mata Trick Eye Museum,3
842,De Mata Trick Eye Museum,1
849,De Mata Trick Eye Museum,2
855,De Mata Trick Eye Museum,4
859,De Mata Trick Eye Museum,4
881,De Mata Trick Eye Museum,1
892,De Mata Trick Eye Museum,1
897,De Mata Trick Eye Museum,5
918,De Mata Trick Eye Museum,3
929,De Mata Trick Eye Museum,5
943,De Mata Trick Eye Museum,3
951,De Mata Trick Eye Museum,3
951,De Mata Trick Eye Museum,1
952,De Mata Trick Eye Museum,5
977,De Mata Trick Eye Museum,4
986,De Mata Trick Eye Museum,5
989,De Mata Trick Eye Museum,4
1000,De Mata Trick Eye Museum,4
1,Agro Tourism Bhumi Merapi,5
1,Agro Tourism Bhumi Merapi,2
16,Agro Tourism Bhumi Merapi,3
17,Agro Tourism Bhumi Merapi,5
32,Agro Tourism Bhumi Merapi,1
40,Agro Tourism Bhumi Merapi,3
44,Agro Tourism Bhumi Merapi,1
47,Agro Tourism Bhumi Merapi,3
71,Agro Tourism Bhumi Merapi,5
80,Agro Tourism Bhumi Merapi,4
89,Agro Tourism Bhumi Merapi,1
104,Agro Tourism Bhumi Merapi,2
105,Agro Tourism Bhumi Merapi,3
110,Agro Tourism Bhumi Merapi,5
119,Agro Tourism Bhumi Merapi,1
122,Agro Tourism Bhumi Merapi,4
130,Agro Tourism Bhumi Merapi,1
139,Agro Tourism Bhumi Merapi,2
142,Agro Tourism Bhumi Merapi,1
147,Agro Tourism Bhumi Merapi,1
154,Agro Tourism Bhumi Merapi,2
157,Agro Tourism Bhumi Merapi,4
158,Agro Tourism Bhumi Merapi,2
164,Agro Tourism Bhumi Merapi,3
167,Agro Tourism Bhumi Merapi,3
189,Agro Tourism Bhumi Merapi,2
196,Agro Tourism Bhumi Merapi,2
202,Agro Tourism Bhumi Merapi,2
232,Agro Tourism Bhumi Merapi,2
236,Agro Tourism Bhumi Merapi,5
256,Agro Tourism Bhumi Merapi,5
256,Agro Tourism Bhumi Merapi,3
278,Agro Tourism Bhumi Merapi,1
281,Agro Tourism Bhumi Merapi,4
288,Agro Tourism Bhumi Merapi,3
289,Agro Tourism Bhumi Merapi,4
296,Agro Tourism Bhumi Merapi,3
298,Agro Tourism Bhumi Merapi,2
327,Agro Tourism Bhumi Merapi,1
341,Agro Tourism Bhumi Merapi,2
361,Agro Tourism Bhumi Merapi,2
368,Agro Tourism Bhumi Merapi,4
382,Agro Tourism Bhumi Merapi,4
389,Agro Tourism Bhumi Merapi,4
398,Agro Tourism Bhumi Merapi,2
406,Agro Tourism Bhumi Merapi,1
408,Agro Tourism Bhumi Merapi,2
414,Agro Tourism Bhumi Merapi,1
428,Agro Tourism Bhumi Merapi,5
444,Agro Tourism Bhumi Merapi,3
461,Agro Tourism Bhumi Merapi,2
467,Agro Tourism Bhumi Merapi,5
472,Agro Tourism Bhumi Merapi,5
490,Agro Tourism Bhumi Merapi,2
505,Agro Tourism Bhumi Merapi,4
547,Agro Tourism Bhumi Merapi,2
547,Agro Tourism Bhumi Merapi,3
557,Agro Tourism Bhumi Merapi,5
559,Agro Tourism Bhumi Merapi,5
572,Agro Tourism Bhumi Merapi,3
581,Agro Tourism Bhumi Merapi,3
591,Agro Tourism Bhumi Merapi,4
598,Agro Tourism Bhumi Merapi,2
618,Agro Tourism Bhumi Merapi,5
