user_id,index,ratings
1,31,1
1,29,5
1,91,4
1,3,4
1,37,1
1,57,4
1,138,5
1,29,2
1,68,2
1,73,5
1,34,4
1,34,5
1,67,4
1,74,5
1,136,2
1,119,5
2,13,4
2,70,1
2,99,5
2,25,2
2,75,4
2,114,4
2,75,4
2,69,1
2,99,2
2,96,3
2,64,3
2,73,5
2,38,3
2,76,2
2,93,3
2,44,3
2,57,2
2,87,2
2,34,5
3,34,4
3,23,2
3,100,5
3,58,1
3,83,5
3,126,1
3,126,5
3,8,4
3,8,3
3,32,4
3,2,5
3,108,5
3,88,2
4,41,2
4,116,1
4,47,2
4,109,3
4,82,1
4,129,5
4,110,4
4,139,5
4,2,1
4,69,3
4,116,4
4,7,1
4,2,1
5,102,5
5,112,3
5,121,1
5,90,2
5,53,3
5,93,4
5,22,1
5,135,1
5,32,2
5,115,4
5,141,4
5,11,3
5,32,5
6,47,3
6,136,3
6,49,3
6,36,4
6,76,3
6,122,3
6,134,2
6,14,3
6,55,3
6,102,5
6,117,1
6,42,4
7,1,3
7,11,5
7,51,3
7,30,2
7,4,5
7,65,1
7,98,1
7,15,1
7,7,1
7,25,1
7,58,4
7,18,4
7,120,4
7,74,2
7,86,1
7,16,2
7,26,3
7,90,1
8,122,1
8,103,4
8,89,2
8,50,4
8,19,5
8,66,4
8,129,4
8,74,5
8,105,1
8,6,2
8,8,3
9,122,2
9,141,2
9,93,1
9,66,4
9,124,4
9,4,4
9,56,4
9,28,2
9,65,5
9,18,2
9,66,1
9,90,3
9,25,3
9,120,1
10,68,1
10,121,4
10,27,2
10,117,5
10,120,3
10,49,4
10,111,1
10,33,2
10,64,4
10,87,5
10,70,1
10,110,1
10,1,5
10,36,4
10,85,5
10,22,5
10,32,3
10,45,2
11,101,4
11,13,2
11,132,4
11,125,4
11,87,5
11,69,5
11,22,2
11,115,1
11,73,3
11,64,1
11,46,4
11,28,3
11,59,3
11,58,3
11,84,4
11,132,2
11,40,2
11,122,5
11,32,3
12,81,3
12,44,4
12,111,1
12,93,1
12,73,3
12,139,1
12,2,3
12,80,4
12,95,5
12,57,1
12,84,3
13,58,3
13,108,3
13,73,4
13,23,5
13,118,1
13,133,3
13,63,3
13,79,5
13,86,5
13,135,1
13,103,1
13,37,1
13,8,2
13,11,4
13,8,4
13,86,2
13,25,1
13,30,3
14,102,5
14,123,2
14,35,3
14,15,2
14,25,3
14,90,2
14,19,5
14,5,1
14,60,2
14,55,1
14,37,1
14,119,4
14,52,4
14,95,3
15,113,1
15,125,1
15,106,5
15,2,3
15,126,1
15,21,5
15,120,5
15,74,2
15,130,3
15,58,5
15,54,5
15,63,1
15,131,5
15,5,5
15,90,1
15,18,1
15,60,4
15,117,4
